"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"POL","Poland","EDU_6","Successful completion of upper secondary programmes","MEN","Men","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,72.0556875747758,,
"POL","Poland","EDU_6","Successful completion of upper secondary programmes","WOMEN","Women","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,84.5450965816464,,
"SVK","Slovak Republic","EDU_6","Successful completion of upper secondary programmes","MEN","Men","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,88.786969567081,,
"SVK","Slovak Republic","EDU_6","Successful completion of upper secondary programmes","WOMEN","Women","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,88.9055905648378,,
"ESP","Spain","EDU_6","Successful completion of upper secondary programmes","MEN","Men","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,56.6443656226114,,
"ESP","Spain","EDU_6","Successful completion of upper secondary programmes","WOMEN","Women","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,63.5711087579154,,
"SWE","Sweden","EDU_6","Successful completion of upper secondary programmes","MEN","Men","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,71.373055028463,,
"SWE","Sweden","EDU_6","Successful completion of upper secondary programmes","WOMEN","Women","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,75.0278795602995,,
"GBR","United Kingdom","EDU_6","Successful completion of upper secondary programmes","MEN","Men","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,62.9611486537882,,
"GBR","United Kingdom","EDU_6","Successful completion of upper secondary programmes","WOMEN","Women","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,71.6515033609059,,
"USA","United States","EDU_6","Successful completion of upper secondary programmes","MEN","Men","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,82.6042548744876,,
"USA","United States","EDU_6","Successful completion of upper secondary programmes","WOMEN","Women","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,88.3143791150605,,
"EST","Estonia","EDU_6","Successful completion of upper secondary programmes","MEN","Men","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,75.275163502951,,
"EST","Estonia","EDU_6","Successful completion of upper secondary programmes","WOMEN","Women","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,80.9017156536774,,
"ISR","Israel","EDU_6","Successful completion of upper secondary programmes","MEN","Men","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,81.4034727216686,,
"ISR","Israel","EDU_6","Successful completion of upper secondary programmes","WOMEN","Women","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,94.2471821095466,,
"SVN","Slovenia","EDU_6","Successful completion of upper secondary programmes","MEN","Men","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,70.6236323851203,,
"SVN","Slovenia","EDU_6","Successful completion of upper secondary programmes","WOMEN","Women","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,76.3534675615212,,
"OAVG","OECD - Average","EDU_6","Successful completion of upper secondary programmes","MEN","Men","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,65.5665113477472,,
"OAVG","OECD - Average","EDU_6","Successful completion of upper secondary programmes","WOMEN","Women","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,74.0887448624062,,
"CHL","Chile","EDU_6","Successful completion of upper secondary programmes","MEN","Men","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,60.9474926782619,,
"GRC","Greece","EDU_6","Successful completion of upper secondary programmes","MEN","Men","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,82.4691430072073,,
"TUR","Turkey","EDU_6","Successful completion of upper secondary programmes","WOMEN","Women","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,80.0604353238653,,
"ITA","Italy","EDU_6","Successful completion of upper secondary programmes","WOMEN","Women","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,73.1749362018926,,
"GRC","Greece","EDU_6","Successful completion of upper secondary programmes","WOMEN","Women","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,87.1362140959129,,
"CHL","Chile","EDU_6","Successful completion of upper secondary programmes","WOMEN","Women","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,67.2331917020745,,
"TUR","Turkey","EDU_6","Successful completion of upper secondary programmes","MEN","Men","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,65.5723883415381,,
"ITA","Italy","EDU_6","Successful completion of upper secondary programmes","MEN","Men","TOTAL","Total","VARIOUS","Various Years","PC","Percentage","0","Units",,,58.7060624689202,,
