"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BRA","Brazil","EMP3","Youth unemployment rate, by sex, 15-24 years old","MEN","Men","1524","15-24","2001","2001","PC","Percentage","0","Units",,,14.7,,
"FIN","Finland","EMP3","Youth unemployment rate, by sex, 15-24 years old","MEN","Men","1524","15-24","2009","2009","PC","Percentage","0","Units",,,24.5,,
"DNK","Denmark","EMP3","Youth unemployment rate, by sex, 15-24 years old","MEN","Men","1524","15-24","2003","2003","PC","Percentage","0","Units",,,9.2,,
"IRL","Ireland","EMP3","Youth unemployment rate, by sex, 15-24 years old","MEN","Men","1524","15-24","2009","2009","PC","Percentage","0","Units",,,31.9,,
"NZL","New Zealand","EMP3","Youth unemployment rate, by sex, 15-24 years old","MEN","Men","1524","15-24","1999","1999","PC","Percentage","0","Units",,,15.2,,
"GBR","United Kingdom","EMP3","Youth unemployment rate, by sex, 15-24 years old","WOMEN","Women","1524","15-24","2005","2005","PC","Percentage","0","Units",,,10.6,,
"POL","Poland","EMP3","Youth unemployment rate, by sex, 15-24 years old","WOMEN","Women","1524","15-24","1999","1999","PC","Percentage","0","Units",,,32,,
"PRT","Portugal","EMP3","Youth unemployment rate, by sex, 15-24 years old","WOMEN","Women","1524","15-24","2005","2005","PC","Percentage","0","Units",,,19.2,,
"ISL","Iceland","EMP3","Youth unemployment rate, by sex, 15-24 years old","MEN","Men","1524","15-24","2003","2003","PC","Percentage","0","Units",,,9.4,,
"KOR","Korea","EMP3","Youth unemployment rate, by sex, 15-24 years old","WOMEN","Women","1524","15-24","2012","2012","PC","Percentage","0","Units",,,8.5,,
"JPN","Japan","EMP3","Youth unemployment rate, by sex, 15-24 years old","WOMEN","Women","1524","15-24","2006","2006","PC","Percentage","0","Units",,,7.2,,
"ISR","Israel","EMP3","Youth unemployment rate, by sex, 15-24 years old","MEN","Men","1524","15-24","1994","1994","PC","Percentage","0","Units",,,14.5,,
"TUR","Turkey","EMP3","Youth unemployment rate, by sex, 15-24 years old","WOMEN","Women","1524","15-24","1999","1999","PC","Percentage","0","Units",,,14,,
"NOR","Norway","EMP3","Youth unemployment rate, by sex, 15-24 years old","WOMEN","Women","1524","15-24","1996","1996","PC","Percentage","0","Units",,,12.7,,
"CAN","Canada","EMP3","Youth unemployment rate, by sex, 15-24 years old","WOMEN","Women","1524","15-24","1994","1994","PC","Percentage","0","Units",,,13.7,,
"ISR","Israel","EMP3","Youth unemployment rate, by sex, 15-24 years old","MEN","Men","1524","15-24","2011","2011","PC","Percentage","0","Units",,,11.9,,
"NOR","Norway","EMP3","Youth unemployment rate, by sex, 15-24 years old","WOMEN","Women","1524","15-24","2010","2010","PC","Percentage","0","Units",,,7.7,,
"DNK","Denmark","EMP3","Youth unemployment rate, by sex, 15-24 years old","MEN","Men","1524","15-24","2000","2000","PC","Percentage","0","Units",,,6.8,,
